,State,Year,Quater,Transaction_area,Registered_Users
0,andaman-&-nicobar-islands,2018,1,south andaman,5846
1,andaman-&-nicobar-islands,2018,1,north and middle andaman,632
2,andaman-&-nicobar-islands,2018,1,nicobars,262
3,andaman-&-nicobar-islands,2018,2,south andaman,8143
4,andaman-&-nicobar-islands,2018,2,north and middle andaman,911
5,andaman-&-nicobar-islands,2018,2,nicobars,351
6,andaman-&-nicobar-islands,2018,3,south andaman,10474
7,andaman-&-nicobar-islands,2018,3,north and middle andaman,1208
8,andaman-&-nicobar-islands,2018,3,nicobars,467
9,andaman-&-nicobar-islands,2018,4,south andaman,13133
10,andaman-&-nicobar-islands,2018,4,north and middle andaman,1553
11,andaman-&-nicobar-islands,2018,4,nicobars,536
12,andaman-&-nicobar-islands,2019,1,south andaman,15961
13,andaman-&-nicobar-islands,2019,1,north and middle andaman,2013
14,andaman-&-nicobar-islands,2019,1,nicobars,622
15,andaman-&-nicobar-islands,2019,2,south andaman,18621
16,andaman-&-nicobar-islands,2019,2,north and middle andaman,2417
17,andaman-&-nicobar-islands,2019,2,nicobars,693
18,andaman-&-nicobar-islands,2019,3,south andaman,20518
19,andaman-&-nicobar-islands,2019,3,north and middle andaman,2662
20,andaman-&-nicobar-islands,2019,3,nicobars,751
21,andaman-&-nicobar-islands,2019,4,south andaman,22202
22,andaman-&-nicobar-islands,2019,4,north and middle andaman,2955
23,andaman-&-nicobar-islands,2019,4,nicobars,803
24,andaman-&-nicobar-islands,2020,1,south andaman,24174
25,andaman-&-nicobar-islands,2020,1,north and middle andaman,3315
26,andaman-&-nicobar-islands,2020,1,nicobars,879
27,andaman-&-nicobar-islands,2020,2,south andaman,27626
28,andaman-&-nicobar-islands,2020,2,north and middle andaman,4100
29,andaman-&-nicobar-islands,2020,2,nicobars,984
30,andaman-&-nicobar-islands,2020,3,south andaman,34833
31,andaman-&-nicobar-islands,2020,3,north and middle andaman,5355
32,andaman-&-nicobar-islands,2020,3,nicobars,1147
33,andaman-&-nicobar-islands,2020,4,south andaman,43908
34,andaman-&-nicobar-islands,2020,4,north and middle andaman,7076
35,andaman-&-nicobar-islands,2020,4,nicobars,1412
36,andaman-&-nicobar-islands,2021,1,south andaman,48352
37,andaman-&-nicobar-islands,2021,1,north and middle andaman,7833
38,andaman-&-nicobar-islands,2021,1,nicobars,1573
39,andaman-&-nicobar-islands,2021,2,south andaman,51903
40,andaman-&-nicobar-islands,2021,2,north and middle andaman,8493
41,andaman-&-nicobar-islands,2021,2,nicobars,1699
42,andaman-&-nicobar-islands,2021,3,south andaman,55873
43,andaman-&-nicobar-islands,2021,3,north and middle andaman,9263
44,andaman-&-nicobar-islands,2021,3,nicobars,1846
45,andaman-&-nicobar-islands,2021,4,south andaman,59807
46,andaman-&-nicobar-islands,2021,4,north and middle andaman,10002
47,andaman-&-nicobar-islands,2021,4,nicobars,1971
48,andaman-&-nicobar-islands,2022,1,south andaman,63487
49,andaman-&-nicobar-islands,2022,1,north and middle andaman,10720
50,andaman-&-nicobar-islands,2022,1,nicobars,2081
51,andaman-&-nicobar-islands,2022,2,south andaman,66959
52,andaman-&-nicobar-islands,2022,2,north and middle andaman,11379
53,andaman-&-nicobar-islands,2022,2,nicobars,2192
54,andaman-&-nicobar-islands,2022,3,south andaman,70445
55,andaman-&-nicobar-islands,2022,3,north and middle andaman,11897
56,andaman-&-nicobar-islands,2022,3,nicobars,2300
57,andaman-&-nicobar-islands,2022,4,south andaman,73692
58,andaman-&-nicobar-islands,2022,4,north and middle andaman,12361
59,andaman-&-nicobar-islands,2022,4,nicobars,2389
60,andaman-&-nicobar-islands,2023,1,south andaman,77052
61,andaman-&-nicobar-islands,2023,1,north and middle andaman,12941
62,andaman-&-nicobar-islands,2023,1,nicobars,2491
63,andaman-&-nicobar-islands,2023,2,south andaman,80112
64,andaman-&-nicobar-islands,2023,2,north and middle andaman,13600
65,andaman-&-nicobar-islands,2023,2,nicobars,2617
66,andaman-&-nicobar-islands,2023,3,south andaman,83305
67,andaman-&-nicobar-islands,2023,3,north and middle andaman,14216
68,andaman-&-nicobar-islands,2023,3,nicobars,2734
69,andaman-&-nicobar-islands,2023,4,south andaman,86348
70,andaman-&-nicobar-islands,2023,4,north and middle andaman,14813
71,andaman-&-nicobar-islands,2023,4,nicobars,2817
72,andaman-&-nicobar-islands,2024,1,south andaman,89907
73,andaman-&-nicobar-islands,2024,1,north and middle andaman,15539
74,andaman-&-nicobar-islands,2024,1,nicobars,2965
75,andaman-&-nicobar-islands,2024,2,south andaman,93421
76,andaman-&-nicobar-islands,2024,2,north and middle andaman,16183
77,andaman-&-nicobar-islands,2024,2,nicobars,3083
78,andaman-&-nicobar-islands,2024,3,south andaman,143250
79,andaman-&-nicobar-islands,2024,3,north and middle andaman,21728
80,andaman-&-nicobar-islands,2024,3,nicobar,7495
81,andaman-&-nicobar-islands,2024,4,south andaman,148543
82,andaman-&-nicobar-islands,2024,4,north and middle andaman,22547
83,andaman-&-nicobar-islands,2024,4,nicobar,7698
84,andhra-pradesh,2018,1,visakhapatnam,497187
85,andhra-pradesh,2018,1,east godavari,350356
86,andhra-pradesh,2018,1,krishna,323673
87,andhra-pradesh,2018,1,guntur,317065
88,andhra-pradesh,2018,1,chittoor,309541
89,andhra-pradesh,2018,1,anantapur,241192
90,andhra-pradesh,2018,1,kurnool,240133
91,andhra-pradesh,2018,1,west godavari,213335
92,andhra-pradesh,2018,1,spsr nellore,194475
93,andhra-pradesh,2018,1,prakasam,189949
94,andhra-pradesh,2018,2,visakhapatnam,636052
95,andhra-pradesh,2018,2,east godavari,454398
96,andhra-pradesh,2018,2,krishna,431965
97,andhra-pradesh,2018,2,guntur,420326
98,andhra-pradesh,2018,2,chittoor,414306
99,andhra-pradesh,2018,2,anantapur,326383
100,andhra-pradesh,2018,2,kurnool,319313
101,andhra-pradesh,2018,2,west godavari,282393
102,andhra-pradesh,2018,2,spsr nellore,261049
103,andhra-pradesh,2018,2,prakasam,253458
104,andhra-pradesh,2018,3,visakhapatnam,769096
105,andhra-pradesh,2018,3,east godavari,558982
106,andhra-pradesh,2018,3,krishna,537086
107,andhra-pradesh,2018,3,guntur,518931
108,andhra-pradesh,2018,3,chittoor,515727
109,andhra-pradesh,2018,3,anantapur,405855
110,andhra-pradesh,2018,3,kurnool,394311
111,andhra-pradesh,2018,3,west godavari,349782
112,andhra-pradesh,2018,3,spsr nellore,322446
113,andhra-pradesh,2018,3,prakasam,314899
114,andhra-pradesh,2018,4,visakhapatnam,978288
115,andhra-pradesh,2018,4,east godavari,694455
116,andhra-pradesh,2018,4,krishna,682479
117,andhra-pradesh,2018,4,chittoor,665280
118,andhra-pradesh,2018,4,guntur,659552
119,andhra-pradesh,2018,4,anantapur,510892
120,andhra-pradesh,2018,4,kurnool,498582
121,andhra-pradesh,2018,4,west godavari,435668
122,andhra-pradesh,2018,4,spsr nellore,407495
123,andhra-pradesh,2018,4,prakasam,394962
124,andhra-pradesh,2019,1,visakhapatnam,1174517
125,andhra-pradesh,2019,1,east godavari,839277
126,andhra-pradesh,2019,1,krishna,833694
127,andhra-pradesh,2019,1,chittoor,812314
128,andhra-pradesh,2019,1,guntur,802394
129,andhra-pradesh,2019,1,anantapur,612162
130,andhra-pradesh,2019,1,kurnool,599422
131,andhra-pradesh,2019,1,west godavari,523372
132,andhra-pradesh,2019,1,spsr nellore,491908
133,andhra-pradesh,2019,1,prakasam,474260
134,andhra-pradesh,2019,2,visakhapatnam,1318740
135,andhra-pradesh,2019,2,krishna,952300
136,andhra-pradesh,2019,2,east godavari,945181
137,andhra-pradesh,2019,2,chittoor,925491
138,andhra-pradesh,2019,2,guntur,915256
139,andhra-pradesh,2019,2,anantapur,695114
140,andhra-pradesh,2019,2,kurnool,680118
141,andhra-pradesh,2019,2,west godavari,592185
142,andhra-pradesh,2019,2,spsr nellore,558303
143,andhra-pradesh,2019,2,prakasam,539462
144,andhra-pradesh,2019,3,visakhapatnam,1460464
145,andhra-pradesh,2019,3,krishna,1066546
146,andhra-pradesh,2019,3,east godavari,1057167
147,andhra-pradesh,2019,3,chittoor,1032733
148,andhra-pradesh,2019,3,guntur,1026418
149,andhra-pradesh,2019,3,anantapur,773656
150,andhra-pradesh,2019,3,kurnool,755024
151,andhra-pradesh,2019,3,west godavari,662102
152,andhra-pradesh,2019,3,spsr nellore,619592
153,andhra-pradesh,2019,3,prakasam,598568
154,andhra-pradesh,2019,4,visakhapatnam,1620235
155,andhra-pradesh,2019,4,krishna,1199971
156,andhra-pradesh,2019,4,east godavari,1195228
157,andhra-pradesh,2019,4,guntur,1158708
158,andhra-pradesh,2019,4,chittoor,1156351
159,andhra-pradesh,2019,4,anantapur,873033
160,andhra-pradesh,2019,4,kurnool,846885
161,andhra-pradesh,2019,4,west godavari,750078
162,andhra-pradesh,2019,4,spsr nellore,697154
163,andhra-pradesh,2019,4,prakasam,673522
164,andhra-pradesh,2020,1,visakhapatnam,1763581
165,andhra-pradesh,2020,1,krishna,1331602
166,andhra-pradesh,2020,1,east godavari,1329664
167,andhra-pradesh,2020,1,guntur,1289678
168,andhra-pradesh,2020,1,chittoor,1270907
169,andhra-pradesh,2020,1,anantapur,971850
170,andhra-pradesh,2020,1,kurnool,936293
171,andhra-pradesh,2020,1,west godavari,843835
172,andhra-pradesh,2020,1,spsr nellore,775440
173,andhra-pradesh,2020,1,prakasam,748655
174,andhra-pradesh,2020,2,visakhapatnam,1904719
175,andhra-pradesh,2020,2,east godavari,1459116
176,andhra-pradesh,2020,2,krishna,1459041
177,andhra-pradesh,2020,2,guntur,1426271
178,andhra-pradesh,2020,2,chittoor,1385916
179,andhra-pradesh,2020,2,anantapur,1076953
180,andhra-pradesh,2020,2,kurnool,1035093
181,andhra-pradesh,2020,2,west godavari,944829
182,andhra-pradesh,2020,2,spsr nellore,854459
183,andhra-pradesh,2020,2,prakasam,830709
184,andhra-pradesh,2020,3,visakhapatnam,2058346
185,andhra-pradesh,2020,3,east godavari,1601940
186,andhra-pradesh,2020,3,krishna,1599289
187,andhra-pradesh,2020,3,guntur,1567595
188,andhra-pradesh,2020,3,chittoor,1506503
